ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
2006347,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A270000,BMW,X5 SDRIVE25D,M1,,2070,,141,,2933,1644,1647,Diesel,M,1995,,,,,,,,1
2006352,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006358,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006365,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006371,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006376,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*17,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006383,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*18,X5,LS02,6A150000,BMW,X5 XDRIVE25D,M1,,2115,,146,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006390,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*18,X5,LS02,6A150000,BMW,X5 XDRIVE25D,M1,,2115,,146,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006395,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*17,X5,LS02,6A150000,BMW,X5 XDRIVE25D,M1,,2115,,146,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006401,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*18,X5,KT42,6A150000,BMW,X5 XDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006407,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*18,X5,LS02,6A150000,BMW,X5 XDRIVE25D,M1,,2115,,146,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006412,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*20,X5,KS62,6A270000,BMW,X5 XDRIVE40D,M1,,2185,,159,,2933,1644,1647,Diesel,M,2993,,,,,,,,1
2006419,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KS62,6A250000,BMW,X5 XDRIVE40D,M1,,2185,,159,,2933,1644,1650,Diesel,M,2993,,,,,,,,1
2006425,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0412*12,X6,KV62,6A050000,BMW,X6 M50D,M1,,2260,,174,,2933,1640,1700,Diesel,M,2993,,,,,,,,1
2006430,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0412*15,X6,KV62,6A050000,BMW,X6 M50D,M1,,2260,,174,,2933,1640,1697,Diesel,M,2993,,,,,,,,1
2006438,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0412*11,X6,KV42,6A250000,BMW,X6 XDRIVE40D,M1,,2180,,165,,2933,1640,1706,Diesel,M,2993,,,,,,,,1
2006443,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0316*17,3C,4K32,6A250000,BMW,420D,M1,,1615,,114,,2810,1545,1594,Diesel,M,1995,,,,,,,,1
