ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
473460,HU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN,E1*2001/116*0307*48,3C,ACCHHBX0,FD6FD6D9011SV7MMVR265,VOLKSWAGEN,PASSAT,M1,M1,1550,,149,,2786,1586,1570,PETROL,M,1984,162,,,,,,,1
486111,HU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN,E1*2007/46*0627*25,AUV,SACCZDAX0,FM6FM62S022N7MMON1ML02VR2,VOLKSWAGEN,GOLF SPORTSVAN,M1,M1,1391,,126,,2670,1550,1526,PETROL,M,1395,110,,,,,,,1
471963,HU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN,E1*2001/116*0307*47,3C,AADFCAX0,FM6FM6FB003SV7MMVR261,VOLKSWAGEN,PASSAT,M1,M1,1505,,108,,2786,1586,1570,DIESEL,M,1968,140,,,,,,,6
475705,HU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN,E1*2001/116*0450*30,5N,ACDFHAX1,NAD7AD7DL003GR4NVR27MM63,VOLKSWAGEN,TIGUAN,M1,M1G,1723,,149,,2677,1586,1576,DIESEL,M,1968,140,,,,,,,3
465630,HU,SUZUKI POOL,,MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,SUZUKI,E4*2007/46*0779*05,JY,B82S,DCT,SUZUKI,SX4,M1,M1,1430,,120,,2600,1535,1505,DIESEL,M,1598,88,,,,,,,6
479184,HU,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,Opel,e8*2007/46*0264*01,Z-B,CA0HAAB22,BA1M7CBHN5,OPEL,INSIGNIA GRAND SPORT,M1,M1,1649,,197,,2829,1607,1610,Petrol,M,1998,191,,,,,,,1
479189,HU,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,Opel,e8*2007/46*0264*01,Z-B,CA0HAAB22,BA1N6CBHN5,Opel,INSIGNIA GRAND SPORT,M1,M1,1649,,197,,2829,1607,1610,Petrol,M,1998,191,,,,,,,4
479195,HU,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,Opel,e8*2007/46*0264*01,Z-B,CA0HAAB22,BA1P1CBHN5,Opel,INSIGNIA GRAND SPORT,M1,M1,1649,,197,,2829,1607,1610,Petrol,M,1998,191,,,,,,,2
479200,HU,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,Opel,e8*2007/46*0264*01,Z-B,CA0HAAB22,BA1P4CBHN5,Opel,INSIGNIA GRAND SPORT,M1,M1,1649,,197,,2829,1607,1610,Petrol,M,1998,191,,,,,,,3
479206,HU,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,Opel,e8*2007/46*0264*01,Z-B,CA0HMBB12,BA1L5FAFK5,OPEL,INSIGNIA GRAND SPORT,M1,M1,1582,,136,,2829,1607,1610,Diesel,M,1956,125,,,,,,,2
479213,HU,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,Opel,e8*2007/46*0264*01,Z-B,CA0HMBB12,BA1L7FAFK5,OPEL,INSIGNIA GRAND SPORT,M1,M1,1582,,136,,2829,1607,1610,Diesel,M,1956,125,,,,,,,1
479219,HU,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,Opel,e8*2007/46*0264*01,Z-B,CA0HMBB12,BA1M2FAFK5,Opel,INSIGNIA GRAND SPORT,M1,M1,1582,,136,,2829,1607,1610,Diesel,M,1956,125,,,,,,,1
